timestamp_pixel,FHR_BPM,TOCO_PERCENT
0,136.5,17.2
1,138.2,17.9
2,137.5,18.2
3,137.1,19.4
4,135.8,19.4
5,135.8,18.4
6,135.5,18.7
7,138.0,17.6
8,137.2,17.4
9,136.9,17.2
10,138.0,17.4
11,143.0,18.2
12,144.4,16.8
13,142.7,16.5
14,142.9,15.6
15,144.0,15.4
16,149.2,15.9
17,149.2,15.1
18,148.7,15.6
19,147.4,15.6
20,147.2,17.6
21,144.4,17.9
22,143.5,17.8
23,142.5,17.9
24,141.9,18.6
25,141.7,19.4
26,142.9,19.7
27,145.5,21.2
28,145.9,21.8
29,143.7,22.6
30,143.4,23.2
31,139.8,25.6
32,137.5,26.8
33,138.0,29.1
34,138.4,29.4
35,144.4,26.8
36,141.8,26.8
37,139.1,26.8
38,136.6,26.9
39,132.8,27.4
40,131.6,27.1
41,134.7,25.3
42,139.1,23.9
43,141.4,20.8
44,140.2,19.7
45,140.7,20.9
46,139.9,21.8
47,141.4,22.1
48,141.4,23.3
49,138.6,24.4
50,137.5,25.0
51,134.2,24.8
52,134.6,24.7
53,126.0,25.6
54,127.4,28.5
55,131.1,29.8
56,131.8,30.3
57,134.8,31.5
58,136.9,31.9
59,117.7,34.0
60,118.3,33.3
61,120.7,34.5
62,126.7,34.4
63,131.7,35.0
64,135.0,35.0
65,134.6,34.1
66,133.6,32.6
67,135.7,31.2
68,133.7,29.4
69,136.8,28.5
70,136.5,25.9
71,135.3,25.0
72,135.2,23.8
73,138.3,21.8
74,138.6,20.9
75,139.5,19.7
76,140.4,19.3
77,139.2,19.1
78,140.9,19.1
79,141.2,18.1
80,144.4,18.0
81,144.8,18.6
82,145.0,17.2
83,146.6,17.6
84,148.5,16.6
85,148.1,16.3
86,149.2,15.7
87,149.2,15.3
88,150.4,15.4
89,144.8,14.3
90,139.5,14.2
91,139.5,13.6
92,141.0,13.4
93,142.3,13.3
94,145.5,12.6
95,147.3,11.3
96,149.6,10.6
97,151.5,10.6
98,148.9,10.8
99,149.2,10.3
100,149.6,10.0
101,162.2,9.9
102,173.6,9.3
103,169.2,9.7
104,161.6,8.5
105,154.5,8.8
106,153.0,8.5
107,153.0,8.5
108,152.0,8.5
109,151.3,8.5
110,152.2,8.1
111,151.0,9.0
112,153.1,8.5
113,152.6,8.5
114,151.9,8.5
115,152.4,8.5
116,151.8,7.9
117,150.4,7.9
118,146.6,7.6
119,146.6,7.6
120,146.2,7.9
121,147.8,7.9
122,146.9,7.9
123,147.2,8.0
124,148.4,8.5
125,149.6,8.2
126,149.6,8.3
127,145.9,8.0
128,145.9,8.0
129,152.6,8.2
130,153.0,7.3
131,153.2,7.6
132,154.9,8.8
133,154.1,9.1
134,153.0,10.6
135,150.4,11.2
136,149.6,12.1
137,150.7,13.5
138,150.7,13.1
139,153.5,14.7
140,152.6,17.4
141,151.9,18.2
142,151.8,20.2
143,151.9,21.9
144,151.1,24.4
145,150.2,26.9
146,151.7,28.5
147,151.1,29.5
148,149.0,31.5
149,148.0,35.2
150,147.5,36.8
151,142.6,34.1
152,139.0,34.1
153,136.5,38.5
154,134.5,38.5
155,128.9,39.1
156,127.0,39.6
157,124.7,42.1
158,121.9,42.6
159,121.2,43.2
160,119.3,42.2
161,119.2,42.9
162,118.0,42.8
163,115.5,42.6
164,106.9,41.1
165,106.9,40.7
166,106.4,39.7
167,106.2,39.2
168,106.1,37.8
169,108.3,36.7
170,109.1,37.1
171,107.8,35.3
172,110.1,33.7
173,110.1,29.9
174,112.3,27.5
175,111.9,25.0
176,114.5,24.4
177,114.7,22.1
178,117.5,21.9
179,116.2,20.9
180,118.0,19.4
181,118.5,19.1
182,122.1,16.5
183,123.1,16.2
184,122.3,14.7
185,124.6,14.4
186,126.0,15.1
187,126.2,16.2
188,127.0,16.5
189,126.9,16.2
190,127.2,15.6
191,130.2,13.8
192,130.7,13.8
193,130.2,13.0
194,129.5,12.6
195,130.1,12.1
196,121.5,12.4
197,121.5,11.1
198,126.1,10.7
199,133.4,11.0
200,140.6,10.6
201,143.6,10.6
202,139.6,10.5
203,137.6,9.4
204,141.1,9.7
205,145.3,10.9
206,150.4,11.2
207,150.7,10.9
208,149.2,9.4
209,149.5,9.4
210,150.3,8.3
211,150.4,5.0
212,149.9,4.4
213,148.2,2.9
214,149.3,2.6
215,147.4,1.8
216,147.4,1.5
217,148.3,6.2
218,147.9,7.1
219,147.4,6.6
220,147.4,7.5
221,147.6,6.8
222,147.4,6.4
223,145.6,7.1
224,144.0,8.8
225,142.0,9.4
226,143.2,5.9
227,141.4,5.9
228,148.1,5.7
229,148.9,6.3
230,149.6,6.2
231,147.4,5.3
232,148.5,5.9
233,149.2,5.3
234,146.4,5.1
235,145.5,5.4
236,147.4,5.3
237,145.9,5.6
238,147.8,5.2
239,147.4,6.8
240,147.7,6.2
241,145.5,6.3
242,146.7,7.7
243,145.2,8.0
244,144.2,7.4
245,145.9,6.2
246,147.4,6.5
247,149.2,6.7
248,149.2,6.0
249,150.7,6.7
250,151.1,6.7
251,149.6,6.6
252,148.9,7.4
253,148.9,7.1
254,148.1,6.5
255,147.4,6.8
256,148.9,7.6
257,148.6,6.6
258,149.0,7.9
259,148.4,7.3
260,150.8,7.4
261,152.6,7.4
262,150.6,7.9
263,151.9,7.1
264,151.9,7.6
265,151.5,7.5
266,149.6,7.4
267,150.2,7.9
268,149.2,7.5
269,149.0,7.0
270,149.6,7.0
271,151.5,6.2
272,153.4,5.9
273,153.0,5.9
274,151.4,6.9
275,150.0,7.4
276,151.1,7.2
277,151.5,6.8
278,156.4,6.3
279,154.0,7.7
280,149.6,7.9
281,149.2,6.8
282,149.4,7.6
283,150.7,6.2
284,151.9,5.9
285,149.8,6.7
286,150.4,6.8
287,150.1,7.0
288,149.1,6.6
289,149.8,5.9
290,147.9,5.9
291,147.8,5.6
292,150.0,5.9
293,148.5,6.2
294,147.7,6.2
295,148.7,5.6
296,149.3,5.9
297,147.3,5.9
298,148.2,6.2
299,147.4,6.2
300,145.9,6.7
301,146.8,6.5
302,148.6,7.5
303,149.6,6.8
304,150.7,7.6
305,151.7,8.3
306,150.6,7.6
307,150.1,6.9
308,150.7,4.7
309,148.9,5.0
310,148.5,4.9
311,147.2,5.8
312,147.1,4.9
313,150.0,5.9
314,149.8,5.7
315,149.5,6.3
316,148.8,5.4
317,149.2,6.2
318,149.6,5.9
319,148.9,6.3
320,148.9,5.7
321,149.6,4.5
322,150.3,5.0
323,149.3,5.6
324,151.4,5.9
325,150.9,6.5
326,150.5,7.6
327,150.7,8.2
328,150.2,10.6
329,149.8,12.2
330,150.2,13.6
331,151.4,16.2
332,149.2,16.7
333,149.5,18.1
334,149.4,18.9
335,149.3,21.1
336,150.7,22.1
337,145.9,22.4
338,142.9,23.3
339,144.4,25.3
340,143.8,26.3
341,142.4,26.7
342,140.0,28.8
343,139.5,28.6
344,139.1,30.1
345,141.7,32.0
346,135.5,32.3
347,127.9,33.8
348,127.1,34.7
349,125.6,36.2
350,122.2,38.6
351,118.9,39.7
352,113.6,42.0
353,109.8,42.1
354,107.2,39.8
355,107.6,35.6
356,107.6,32.6
357,108.3,30.6
358,110.8,30.6
359,111.8,26.8
360,114.4,26.2
361,123.5,24.1
362,131.6,23.6
363,133.9,22.6
364,136.5,21.5
365,135.7,20.9
366,135.4,19.7
367,133.0,18.5
368,128.6,18.2
369,129.0,17.6
370,128.8,17.8
371,130.1,16.8
372,132.1,17.0
373,135.3,16.4
374,135.4,15.6
375,135.4,15.5
376,136.9,16.3
377,135.6,15.8
378,139.5,15.3
379,139.9,15.6
380,141.0,15.3
381,142.9,15.3
382,143.6,15.9
383,144.7,18.6
384,144.3,19.1
385,144.5,18.5
386,142.9,17.9
387,142.6,17.4
388,144.4,18.2
389,143.6,18.8
390,144.4,19.5
391,144.2,19.7
392,144.2,21.2
393,144.7,22.3
394,145.5,23.0
395,146.6,22.6
396,141.7,24.2
397,141.7,24.3
398,144.0,25.6
399,143.1,26.2
400,140.2,27.4
401,139.5,28.2
402,137.6,29.1
403,135.5,32.1
404,129.9,33.8
405,127.3,33.2
406,121.4,32.1
407,116.4,31.0
408,116.3,29.4
409,113.6,29.7
410,112.7,29.7
411,112.9,31.4
412,111.4,33.5
413,107.6,34.4
414,108.2,34.4
415,108.0,34.2
416,106.8,33.7
417,105.3,32.0
418,104.1,30.9
419,101.8,29.8
420,99.4,29.5
421,97.1,28.4
422,93.5,26.0
423,94.1,25.6
424,95.1,24.1
425,102.7,21.9
426,110.6,20.3
427,121.0,20.3
428,127.6,19.4
429,133.0,17.4
430,136.5,15.0
431,136.1,16.2
432,134.2,15.6
433,138.4,14.4
434,138.7,14.1
435,137.9,13.8
436,133.3,13.6
437,133.1,13.5
438,134.2,13.5
439,134.8,12.6
440,137.6,12.0
441,138.0,12.6
442,139.1,11.8
443,135.7,11.5
444,133.1,8.8
445,138.0,8.8
446,138.8,9.5
447,136.8,8.5
448,135.4,7.4
449,135.4,7.5
450,138.7,7.1
451,142.8,6.8
452,145.1,7.1
453,146.3,8.0
454,143.8,7.9
455,144.7,10.0
456,144.4,10.5
457,141.0,10.0
458,141.4,9.7
459,138.8,7.9
460,136.3,7.9
461,136.1,9.0
462,137.5,12.1
463,138.0,12.7
464,141.6,13.9
465,142.7,13.5
466,144.7,12.6
467,146.2,11.9
468,144.6,11.8
469,147.1,11.8
470,144.4,12.2
471,147.5,10.2
472,144.9,10.6
473,147.6,11.0
474,146.6,11.5
475,148.0,12.7
476,145.3,12.6
477,146.6,12.8
478,147.9,11.5
479,146.3,10.9
480,146.4,11.2
